"";"ano";"CNAE1";"X20";"n"
"149";1962;"Atividades administrativas e serviços complementares";"RS";5
"150";1962;"Atividades administrativas e serviços complementares";"SE";1
"151";1962;"Atividades administrativas e serviços complementares";"SP";19
"152";1962;"Atividades financeiras, de seguros e serviços relacionados ";"BA";1
"153";1962;"Atividades financeiras, de seguros e serviços relacionados ";"SP";5
"154";1962;"Atividades imobili?rias";"ES";1
"155";1962;"Atividades imobili?rias";"MG";2
"156";1962;"Atividades imobili?rias";"PE";1
"157";1962;"Atividades imobili?rias";"RJ";1
"158";1962;"Atividades imobili?rias";"SP";7
"159";1962;"Atividades profissionais, científicas e técnicas";"BA";1
"160";1962;"Atividades profissionais, científicas e técnicas";"CE";2
"161";1962;"Atividades profissionais, científicas e técnicas";"MG";2
"162";1962;"Atividades profissionais, científicas e técnicas";"PB";2
"163";1962;"Atividades profissionais, científicas e técnicas";"PE";4
"164";1962;"Atividades profissionais, científicas e técnicas";"PR";1
"165";1962;"Atividades profissionais, científicas e técnicas";"SP";3
"166";1962;"Comércio; reparação de veículos automotores e motocicletas";"BA";2
"167";1962;"Comércio; reparação de veículos automotores e motocicletas";"ES";1
"168";1962;"Comércio; reparação de veículos automotores e motocicletas";"GO";1
"169";1962;"Comércio; reparação de veículos automotores e motocicletas";"MG";1
"170";1962;"Comércio; reparação de veículos automotores e motocicletas";"PE";2
"171";1962;"Comércio; reparação de veículos automotores e motocicletas";"PR";2
"172";1962;"Comércio; reparação de veículos automotores e motocicletas";"RJ";6
"173";1962;"Comércio; reparação de veículos automotores e motocicletas";"SE";1
"174";1962;"Comércio; reparação de veículos automotores e motocicletas";"SP";13
"175";1962;"Construção";"MG";3
"176";1962;"Construção";"PA";1
"177";1962;"Construção";"SP";4
"178";1962;"Educação";"SP";3
"179";1962;"Indústrias de transformação ";"CE";1
"180";1962;"Indústrias de transformação ";"MG";2
"181";1962;"Indústrias de transformação ";"PE";1
"182";1962;"Indústrias de transformação ";"PR";1
"183";1962;"Indústrias de transformação ";"RJ";2
"184";1962;"Indústrias de transformação ";"RS";1
"185";1962;"Indústrias de transformação ";"SC";3
"186";1962;"Indústrias de transformação ";"SP";18
"187";1962;"Informação e comunicação";"MG";1
"188";1962;"Informação e comunicação";"RO";1
"189";1962;"Organismos internacionais e outras instituições extraterritoriais";"DF";3
"190";1962;"Organismos internacionais e outras instituições extraterritoriais";"PE";1
"191";1962;"Organismos internacionais e outras instituições extraterritoriais";"SP";1
"192";1962;"Outras atividades de serviços";"BA";1
"193";1962;"Outras atividades de serviços";"PE";2
"194";1962;"Outras atividades de serviços";"RJ";1
"195";1962;"Outras atividades de serviços";"RS";1
"196";1962;"Outras atividades de serviços";"SC";1
"197";1962;"Outras atividades de serviços";"SE";1
"198";1962;"Outras atividades de serviços";"SP";8
"199";1962;"Saúde humana e serviços sociais ";"SP";2
"200";1962;"Transporte, armazenagem e correio";"PR";1
"201";1962;"Transporte, armazenagem e correio";"RJ";3
"202";1962;"Transporte, armazenagem e correio";"SC";1
"203";1962;"Transporte, armazenagem e correio";"SP";2
"204";1963;"Administração pública, defesa e seguridade social";"BA";3
"205";1963;"Administração pública, defesa e seguridade social";"MG";4
"206";1963;"Administração pública, defesa e seguridade social";"RS";10
"207";1963;"Administração pública, defesa e seguridade social";"SC";4
"208";1963;"Administração pública, defesa e seguridade social";"SP";2
"209";1963;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"SP";1
"210";1963;"Alojamento e alimentação";"RJ";2
"211";1963;"Alojamento e alimentação";"SP";1
"212";1963;"Artes, cultura, esporte e recreação";"CE";1
"213";1963;"Artes, cultura, esporte e recreação";"MG";3
"214";1963;"Artes, cultura, esporte e recreação";"PA";1
"215";1963;"Artes, cultura, esporte e recreação";"PB";1
"216";1963;"Artes, cultura, esporte e recreação";"RJ";1
"217";1963;"Artes, cultura, esporte e recreação";"SC";1
"218";1963;"Artes, cultura, esporte e recreação";"SP";2
"219";1963;"Atividades administrativas e serviços complementares";"BA";2
"220";1963;"Atividades administrativas e serviços complementares";"MG";4
"221";1963;"Atividades administrativas e serviços complementares";"PE";11
"222";1963;"Atividades administrativas e serviços complementares";"PR";1
"223";1963;"Atividades administrativas e serviços complementares";"RJ";12
"224";1963;"Atividades administrativas e serviços complementares";"RS";1
"225";1963;"Atividades administrativas e serviços complementares";"SP";30
"226";1963;"Atividades financeiras, de seguros e serviços relacionados ";"DF";1
"227";1963;"Atividades financeiras, de seguros e serviços relacionados ";"MG";1
"228";1963;"Atividades financeiras, de seguros e serviços relacionados ";"RJ";1
"229";1963;"Atividades financeiras, de seguros e serviços relacionados ";"SP";1
"230";1963;"Atividades imobili?rias";"ES";1
"231";1963;"Atividades imobili?rias";"MG";3
"232";1963;"Atividades imobili?rias";"MS";1
"233";1963;"Atividades imobili?rias";"RS";2
"234";1963;"Atividades imobili?rias";"SP";10
"235";1963;"Atividades profissionais, científicas e técnicas";"AL";1
"236";1963;"Atividades profissionais, científicas e técnicas";"CE";1
"237";1963;"Atividades profissionais, científicas e técnicas";"GO";2
"238";1963;"Atividades profissionais, científicas e técnicas";"MG";2
"239";1963;"Atividades profissionais, científicas e técnicas";"MS";1
"240";1963;"Atividades profissionais, científicas e técnicas";"PA";1
"241";1963;"Atividades profissionais, científicas e técnicas";"PE";1
"242";1963;"Atividades profissionais, científicas e técnicas";"PI";2
"243";1963;"Atividades profissionais, científicas e técnicas";"PR";3
"244";1963;"Atividades profissionais, científicas e técnicas";"RJ";2
"245";1963;"Atividades profissionais, científicas e técnicas";"SP";1
"246";1963;"Atividades profissionais, científicas e técnicas";"TO";2
"247";1963;"Comércio; reparação de veículos automotores e motocicletas";"BA";3
"248";1963;"Comércio; reparação de veículos automotores e motocicletas";"CE";2
"249";1963;"Comércio; reparação de veículos automotores e motocicletas";"DF";1
"250";1963;"Comércio; reparação de veículos automotores e motocicletas";"ES";1
"251";1963;"Comércio; reparação de veículos automotores e motocicletas";"MG";6
"252";1963;"Comércio; reparação de veículos automotores e motocicletas";"PE";1
"253";1963;"Comércio; reparação de veículos automotores e motocicletas";"RJ";12
"254";1963;"Comércio; reparação de veículos automotores e motocicletas";"RN";2
"255";1963;"Comércio; reparação de veículos automotores e motocicletas";"RS";2
"256";1963;"Comércio; reparação de veículos automotores e motocicletas";"SC";1
"257";1963;"Comércio; reparação de veículos automotores e motocicletas";"SE";1
"258";1963;"Comércio; reparação de veículos automotores e motocicletas";"SP";19
"259";1963;"Construção";"BA";1
"260";1963;"Construção";"RJ";1
"261";1963;"Construção";"SP";4
"262";1963;"Educação";"RS";1
"263";1963;"Educação";"SP";2
"264";1963;"Indústrias de transformação ";"CE";2
"265";1963;"Indústrias de transformação ";"MG";1
"266";1963;"Indústrias de transformação ";"PR";2
"267";1963;"Indústrias de transformação ";"RJ";1
"268";1963;"Indústrias de transformação ";"RS";2
"269";1963;"Indústrias de transformação ";"SC";1
"270";1963;"Indústrias de transformação ";"SP";13
"271";1963;"Indústrias extrativas";"GO";1
"272";1963;"Indústrias extrativas";"SE";1
"273";1963;"Informação e comunicação";"GO";1
"274";1963;"Informação e comunicação";"MG";1
"275";1963;"Informação e comunicação";"PR";1
"276";1963;"Informação e comunicação";"RJ";2
"277";1963;"Organismos internacionais e outras instituições extraterritoriais";"SP";1
"278";1963;"Outras atividades de serviços";"AL";1
